# Force coefficients
# dragDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# sideDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (0.000000e+00 1.000000e+00 0.000000e+00)
# pitchAxis   : (-1.000000e+00 0.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 4.800000e+00
# Aref        : 4.400000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	-1.526691e+01	-1.907890e-02	-2.118307e+01	-1.060681e-03	-2.394167e-01	1.001438e-04	-7.634517e+00	-7.632396e+00	-9.439305e-03	-9.639593e-03	-1.083095e+01	-1.035212e+01
2             	-1.875213e+01	-3.118381e-02	-2.652275e+01	-1.943002e-03	-4.372188e-01	-2.884681e-03	-9.378007e+00	-9.374121e+00	-1.847659e-02	-1.270722e-02	-1.369859e+01	-1.282416e+01
3             	-1.512844e+01	1.499636e-02	-2.155748e+01	1.041044e-03	-4.242858e-01	3.210620e-03	-7.563180e+00	-7.565262e+00	1.070880e-02	4.287562e-03	-1.120302e+01	-1.035445e+01
4             	-6.595515e+00	4.894402e-02	-9.617779e+00	3.014094e-03	-2.311885e-01	4.944689e-03	-3.294744e+00	-3.300772e+00	2.941670e-02	1.952732e-02	-5.040078e+00	-4.577701e+00
5             	1.755094e+00	5.390394e-02	2.262785e+00	3.203420e-03	1.075834e-02	3.936005e-03	8.807504e-01	8.743435e-01	3.088798e-02	2.301597e-02	1.142151e+00	1.120634e+00
6             	6.859271e+00	2.802173e-02	9.718889e+00	1.579489e-03	2.076594e-01	9.499875e-04	3.431215e+00	3.428056e+00	1.496085e-02	1.306088e-02	5.067104e+00	4.651785e+00
7             	7.225035e+00	6.946279e-03	1.040086e+01	2.978964e-04	2.609951e-01	-2.927610e-04	3.612815e+00	3.612220e+00	3.180379e-03	3.765901e-03	5.461423e+00	4.939432e+00
8             	5.659044e+00	-3.593316e-02	8.352933e+00	-2.315672e-03	2.651705e-01	-4.609508e-03	2.827206e+00	2.831837e+00	-2.257609e-02	-1.335707e-02	4.441637e+00	3.911296e+00
9             	2.480830e+00	-7.064267e-02	3.912964e+00	-4.366626e-03	1.947543e-01	-7.540330e-03	1.236048e+00	1.244781e+00	-4.286167e-02	-2.778101e-02	2.151236e+00	1.761728e+00
10            	-1.005094e+00	-6.126740e-02	-9.988833e-01	-3.585936e-03	8.227689e-02	-4.297365e-03	-5.061328e-01	-4.989609e-01	-3.493106e-02	-2.633633e-02	-4.171648e-01	-5.817185e-01
11            	-2.929798e+00	-3.859692e-02	-3.867282e+00	-2.152808e-03	-8.643379e-03	-1.543035e-03	-1.467052e+00	-1.462746e+00	-2.084150e-02	-1.775543e-02	-1.942285e+00	-1.924998e+00
12            	-3.308847e+00	-3.028091e-03	-4.539802e+00	2.668904e-05	-5.353359e-02	1.953636e-03	-1.654397e+00	-1.654450e+00	4.395905e-04	-3.467681e-03	-2.323435e+00	-2.216368e+00
13            	-2.634975e+00	2.989656e-02	-3.641320e+00	2.000439e-03	-5.100716e-02	5.073457e-03	-1.315487e+00	-1.319488e+00	2.002174e-02	9.874822e-03	-1.871667e+00	-1.769653e+00
14            	-1.260394e+00	5.479525e-02	-1.703745e+00	3.403302e-03	-1.150562e-02	6.314866e-03	-6.267935e-01	-6.336002e-01	3.371249e-02	2.108276e-02	-8.633784e-01	-8.403671e-01
15            	1.325332e-01	5.623450e-02	2.931007e-01	3.352108e-03	4.235302e-02	4.740895e-03	6.961872e-02	6.291450e-02	3.285814e-02	2.337635e-02	1.889034e-01	1.041973e-01
16            	1.046509e+00	3.590648e-02	1.623316e+00	2.014454e-03	8.763480e-02	1.394860e-03	5.252688e-01	5.212399e-01	1.934810e-02	1.655838e-02	8.992927e-01	7.240231e-01
17            	1.285847e+00	6.795772e-03	1.992590e+00	2.170051e-04	1.094881e-01	-1.846669e-03	6.431405e-01	6.427065e-01	1.551217e-03	5.244556e-03	1.105783e+00	8.868070e-01
18            	1.043952e+00	-1.603351e-02	1.651830e+00	-1.139377e-03	1.077723e-01	-3.933630e-03	5.208364e-01	5.231152e-01	-1.195038e-02	-4.083124e-03	9.336874e-01	7.181428e-01
19            	4.660757e-01	-3.593577e-02	8.176508e-01	-2.240453e-03	8.830734e-02	-4.565753e-03	2.307974e-01	2.352783e-01	-2.253364e-02	-1.340213e-02	4.971327e-01	3.205181e-01
20            	-1.538528e-01	-4.024355e-02	-7.633102e-02	-2.376647e-03	6.195332e-02	-3.249929e-03	-7.930307e-02	-7.454978e-02	-2.337170e-02	-1.687185e-02	2.378781e-02	-1.001188e-01
21            	-5.840119e-01	-2.934251e-02	-6.936934e-01	-1.629100e-03	4.001635e-02	-8.674913e-04	-2.936351e-01	-2.903769e-01	-1.553875e-02	-1.380376e-02	-3.068304e-01	-3.868631e-01
