# y+ ()       
# Time        	patch         	min           	max           	average       
1             	trup	5.942971e+01	5.444207e+02	9.141321e+01
2             	trup	3.033015e+01	5.169219e+02	9.150050e+01
3             	trup	2.806303e+01	4.886616e+02	9.183430e+01
4             	trup	4.134755e+01	4.722386e+02	9.196936e+01
5             	trup	3.977553e+01	4.712660e+02	9.166192e+01
6             	trup	3.869578e+01	4.776132e+02	9.100921e+01
7             	trup	2.201285e+01	4.872957e+02	9.028703e+01
8             	trup	1.868942e+01	4.974407e+02	8.968160e+01
9             	trup	3.023268e+01	5.052091e+02	8.926097e+01
10            	trup	2.915725e+01	5.090376e+02	8.902028e+01
11            	trup	2.672329e+01	5.089203e+02	8.888406e+01
12            	trup	2.532154e+01	5.059457e+02	8.877328e+01
13            	trup	2.491488e+01	5.016787e+02	8.863590e+01
14            	trup	2.379997e+01	4.976179e+02	8.843507e+01
15            	trup	2.115371e+01	4.947434e+02	8.816342e+01
16            	trup	2.004019e+01	4.933540e+02	8.784261e+01
17            	trup	2.029116e+01	4.931770e+02	8.750796e+01
18            	trup	2.147840e+01	4.936278e+02	8.718722e+01
19            	trup	2.233803e+01	4.940875e+02	8.689835e+01
20            	trup	2.124340e+01	4.940897e+02	8.664462e+01
21            	trup	2.034995e+01	4.934180e+02	8.641653e+01
22            	trup	1.968574e+01	4.920906e+02	8.619888e+01
23            	trup	1.920002e+01	4.902779e+02	8.597932e+01
24            	trup	1.880615e+01	4.881892e+02	8.574935e+01
25            	trup	1.840867e+01	4.860080e+02	8.550640e+01
26            	trup	1.794434e+01	4.838390e+02	8.525388e+01
27            	trup	1.739629e+01	4.817008e+02	8.499836e+01
28            	trup	1.678959e+01	4.795492e+02	8.474575e+01
29            	trup	1.616761e+01	4.773247e+02	8.449994e+01
30            	trup	1.557598e+01	4.749726e+02	8.426239e+01
31            	trup	1.504610e+01	4.724658e+02	8.403198e+01
32            	trup	1.459085e+01	4.698117e+02	8.380603e+01
33            	trup	1.420614e+01	4.670455e+02	8.358181e+01
34            	trup	1.387813e+01	4.642120e+02	8.335759e+01
35            	trup	1.358891e+01	4.613560e+02	8.313248e+01
36            	trup	1.332221e+01	4.585129e+02	8.290670e+01
37            	trup	1.306647e+01	4.557042e+02	8.268130e+01
38            	trup	1.281552e+01	4.529390e+02	8.245747e+01
39            	trup	1.256748e+01	4.502254e+02	8.223601e+01
40            	trup	1.232298e+01	4.475770e+02	8.201737e+01
41            	trup	1.208381e+01	4.449897e+02	8.180157e+01
42            	trup	1.185158e+01	4.424761e+02	8.158822e+01
43            	trup	1.162733e+01	4.400525e+02	8.137679e+01
44            	trup	1.141236e+01	4.377362e+02	8.116697e+01
45            	trup	1.120551e+01	4.355410e+02	8.095856e+01
46            	trup	1.100578e+01	4.334761e+02	8.075140e+01
47            	trup	1.081163e+01	4.315469e+02	8.054545e+01
48            	trup	1.062399e+01	4.297546e+02	8.034079e+01
49            	trup	1.044307e+01	4.280960e+02	8.013758e+01
50            	trup	1.026872e+01	4.265654e+02	7.993591e+01
51            	trup	1.010174e+01	4.251565e+02	7.973585e+01
52            	trup	9.943566e+00	4.238614e+02	7.953744e+01
53            	trup	9.795565e+00	4.226709e+02	7.934072e+01
54            	trup	9.658582e+00	4.215756e+02	7.914568e+01
55            	trup	9.533541e+00	4.205662e+02	7.895226e+01
56            	trup	9.420197e+00	4.196343e+02	7.876037e+01
57            	trup	9.317968e+00	4.187721e+02	7.856995e+01
58            	trup	9.226254e+00	4.179717e+02	7.838095e+01
59            	trup	9.144527e+00	4.172253e+02	7.819332e+01
60            	trup	9.072245e+00	4.165252e+02	7.800704e+01
61            	trup	9.008745e+00	4.158639e+02	7.782209e+01
62            	trup	8.953171e+00	4.152347e+02	7.763845e+01
63            	trup	8.904588e+00	4.146314e+02	7.745613e+01
64            	trup	8.862272e+00	4.140483e+02	7.727516e+01
65            	trup	8.825788e+00	4.134802e+02	7.709555e+01
66            	trup	8.794783e+00	4.129216e+02	7.691731e+01
67            	trup	8.768992e+00	4.123676e+02	7.674043e+01
68            	trup	8.748171e+00	4.118134e+02	7.656494e+01
69            	trup	8.732049e+00	4.112547e+02	7.639083e+01
70            	trup	8.720281e+00	4.106878e+02	7.621811e+01
